"Category","Name","Manufacturer","Scheme","Assurance Level","Protection Profile(s)","Certification Date","Archived Date","Certification Report URL","Security Target URL","Maintenance Date","Maintenance Title","Maintenance Report","Maintenance ST"
"ICs, Smart Cards and Smart Card-Related Devices and Systems","NATIONAL SMARTCARD IC UKTÜM-H v7.0 WITH DES – 3DES v7.0, AES256 v7.0, RSA2048 v7.0 LIBRARIES AND WITH IC DEDICATED SOFTWARE","TÜB?TAK B?LGEM UEKAE","TR","EAL5+,AVA_VAN.5","","09/05/2013","","http://www.commoncriteriaportal.org:80/files/epfiles/uktumv7-0_cert?f?cat?on-report-v1-0.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/UKTÜM-H_v7 0_Security_Target_.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Microcontrôleurs SAMSUNG S3FT9MD et S3FT9MC","Samsung Electronics Co., Ltd.","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","SECURITY_IC_V1.0","09/04/2013","","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-CC-2013_58__RC.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/ST Lite S3FT9MD_MC v1.0.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","SAMSUNG S3FV9QJ / S3FV9QL / S3FV9QH / S3FV9FH","Samsung Electronics Co., Ltd.","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","SECURITY_IC_V1.0","08/29/2013","","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-CC-2013_48_fr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/ST Lite S3FV9QJ_QL_QH_FH v1.2.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Infineon smartcard IC (Security Controller) M7791 B12 with optional SCL library version 1.01.009 and with specific IC-dedicated firmware","Infineon Technologies AG","DE","EAL5+,ALC_DVS.2,AVA_VAN.5","SECURITY_IC_V1.0","08/28/2013","","http://www.commoncriteriaportal.org:80/files/epfiles/0854a_pdf.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0854b_pdf.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Services DESFIRE de NFC FlyBuy Platinum V3.0 versionR9.32.4 sur le composant SM33F1ME","Oberthur Technologies / STMicroelectronics","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","","08/28/2013","","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-CC_2013-60fr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-CC-cible_2013-60en.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Toshiba T6NE1 HW version 4","Toshiba Corporation Semiconductor Company, Japan","NO","EAL5+,ALC_DVS.2,AVA_VAN.5","SECURITY_IC_V1.0","08/21/2013","","http://www.commoncriteriaportal.org:80/files/epfiles/SERTIT-045-T6NE1-CR_v.1.0.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/[ST] CC-T6NE1-ST-ENG-001.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","TCOS Passport Version 2.1 Release 1-BAC/ P60D144/FSV02","T-Systems International GMBH","DE","EAL4,ALC_DVS.2","MRTD_ICAO_BA_V1.10","08/15/2013","","http://www.commoncriteriaportal.org:80/files/epfiles/0886a_pdf.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0886b_pdf.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","TCOS Passport Version 2.1 Release 1/ P60D144/FSV02","T-Systems International GMBH","DE","EAL4+,ALC_DVS.2,ATE_DPT.2,AVA_VAN.5","MRTD_ICAO_EAC_V1.3","08/15/2013","","http://www.commoncriteriaportal.org:80/files/epfiles/0885a_pdf.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0885b_pdf.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Plateforme jTOP INFv#46 masquée sur composantsInfineon SLE78CLX1600PM, SLE78CLX800P etSLE78CLX360PM","Trusted Logic / Infineon","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","ANSSI-CC-PP-2001-03-M01","08/07/2013","","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-CC_2013-55fr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-CC-cible_2013-55en.pdf","04/10/2015","ANSSI-CC-2013/55-M01","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-CC-2013-55_M01.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-CC-2013-55_M01 Cible Lite.pdf"
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Plateforme jTOP INFv#46 masquée sur composantsInfineon SLE78CLX1600PM, SLE78CLX800P etSLE78CLX360PM","Trusted Logic / Infineon","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","ANSSI-CC-PP-2001-03-M01","08/07/2013","","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-CC_2013-55fr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-CC-cible_2013-55en.pdf","07/28/2015","Correctif du rapport de certification ANSSI-CC-2013/55","http://www.commoncriteriaportal.org:80/files/epfiles/Correctif du Rapport ANSSI-CC-2013_55.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/Cible ANSSI-CC-2013_55-Correctif.pdf"
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Plateforme jTOP INFv#46 masquée sur composantsInfineon SLE78CLX1600PM, SLE78CLX800P etSLE78CLX360PM","Trusted Logic / Infineon","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","ANSSI-CC-PP-2001-03-M01","08/07/2013","","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-CC_2013-55fr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-CC-cible_2013-55en.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Carte Mobile PayPass 1.0 sur Orange NFC V2 G1 release Bsur composant ST33F1ME, configuration MIFARE activéou configuration MIFARE désactivé - configuration BridgeAEPM version S1109398/S1105439","Gemalto / STMicroelectronics","FR","EAL4+,ALC_DVS.2,AVA_VAN.5","","08/06/2013","","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-CC_2013-57fr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-CC-cible_2013-57en.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Carte Orange NFC V2 G1 release B, configurationMIFARE activé ou MIFARE désactivé, sur composantST33F1ME (T1019210/release B)","Gemalto / STMicroelectronics","FR","EAL4+,ALC_DVS.2,AVA_VAN.5","ANSSI-CC-PP-2010-04","08/06/2013","","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-CC_2013-56fr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-CC-cible_2013-56en.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Crypto Library V1.0 on P60x080/052/040PVC","NXP Semiconductors Germany GmbH Business Line Identification","NL","EAL6+,ALC_FLR.1,ASE_TSS.2","SECURITY_IC_V1.0","08/02/2013","","http://www.commoncriteriaportal.org:80/files/epfiles/[CR] NSCIB-CC-12-36243-CR.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/[ST] Smx2Cl_ST_P60D080 v1.0.pdf","04/28/2014","Crypto Library V1.0 on P60x080/052/040PVC/PVC(y)","http://www.commoncriteriaportal.org:80/files/epfiles/[MR] NSCIB-CC-12-36243-MA1.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/[ST] Smx2Cl_ST_P60D080_v1.2.pdf"
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Crypto Library V1.0 on P60x080/052/040PVC","NXP Semiconductors Germany GmbH Business Line Identification","NL","EAL6+,ALC_FLR.1,ASE_TSS.2","SECURITY_IC_V1.0","08/02/2013","","http://www.commoncriteriaportal.org:80/files/epfiles/[CR] NSCIB-CC-12-36243-CR.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/[ST] Smx2Cl_ST_P60D080 v1.0.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","NXP J3D081_M59, J2D081_M59, J3D081_M61, J2D081_M61 Secure Smart Card Controller of JCOP V2.4.2 R2","NXP Semiconductors Germany GmbH Business Line Identification","DE","EAL5+,ALC_DVS.2,ASE_TSS.2,AVA_VAN.5","ANSSI-CC-PP-2010-03","07/31/2013","","http://www.commoncriteriaportal.org:80/files/epfiles/0784a_pdf.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0784b_pdf.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","NXP J3D081_M59_DF and J3D081_M61_DF Secure Smart Card Controller Revision 2 of JCOP V2.4.2 R2","NXP Semiconductors Germany GmbH Business Line Identification","DE","EAL4+,ALC_DVS.2,ASE_TSS.2,AVA_VAN.5","ANSSI-CC-PP-2010-03","07/31/2013","","http://www.commoncriteriaportal.org:80/files/epfiles/0860a_pdf.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0860b_pdf.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","NXP J3D145_M59, J2D145_M59, J3D120_M60, J3D082_M60, J2D120_M60, J2D082_M60 Secure Smart Card Controller of JCOP V2.4.2 R2","NXP Semiconductors Germany GmbH Business Line Identification","DE","EAL5+,ALC_DVS.2,ASE_TSS.2,AVA_VAN.5","ANSSI-CC-PP-2010-03","07/31/2013","","http://www.commoncriteriaportal.org:80/files/epfiles/0783a_pdf.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0783b_pdf.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Athena IDProtect/OS755 (release 0355, level 0602, correctifP6) avec application IAS-ECC (version 03, build 02,correctif FA) sur composants SB23YR48/80B","Athena Smartcard Solutions Inc / STMicroelectronics","FR","EAL4+,AVA_VAN.5","SSCD_TYPE2_V1.04,SSCD_TYPE3_V1.05","07/26/2013","","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-CC_2013-54fr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-CC-cible_2013-54en.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Microcontrôleurs RISC 32-bits SAMSUNG S3FS91J /S3FS91H / S3FS91V / S3FS93I, avec SWP, Rév. 7, incluant la librairie sécurisée RSA v4.2","Samsung Electronics Co., Ltd.","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","SECURITY_IC_V1.0","07/19/2013","","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-CC_2013-49fr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-CC-cible_2013-49en.pdf","12/23/2014","Rapport de maintenance
ANSSI-CC-2013/49-M01","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-CC-2013_49_M01.pdf",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Microcontrôleurs RISC 32-bits SAMSUNG S3FS91J /S3FS91H / S3FS91V / S3FS93I, avec SWP, Rév. 7, incluant la librairie sécurisée RSA v4.2","Samsung Electronics Co., Ltd.","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","SECURITY_IC_V1.0","07/19/2013","","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-CC_2013-49fr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-CC-cible_2013-49en.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Samsung S3FT9KF/S3FT9KT/S3FT9KS révision 1, incluant la librairie RSA/ECC sécurisée version 3.2","Samsung Electronics Co., Ltd.","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","SECURITY_IC_V1.0","07/11/2013","","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-CC_2013-47fr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-CC-cible_2013-47en.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","SPass NX V1.0 R3 on S3CT9KW/S3CT9KC/S3CT9K9","Samsung SDS","KR","EAL5+,ADV_IMP.2,ALC_DVS.2,AVA_VAN.5","EPASS_V2.1","07/05/2013","","http://www.commoncriteriaportal.org:80/files/epfiles/KECS-CR-13-25 SPass NX V1.0 R3 on S3CT9KWS3CT9KCS3CT9K9(eng).pdf","http://www.commoncriteriaportal.org:80/files/epfiles/Samsung SDS_SPass NX V1.0_R3_ST Lite(En).pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","STARCOS 3.5 ID BAC C1","Giesecke &#38; Devrient GmbH","DE","EAL4+,ALC_DVS.2","MRTD_ICAO_BA_V1.10","07/05/2013","","http://www.commoncriteriaportal.org:80/files/epfiles/0761a_pdf.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0761b_pdf.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","STARCOS 3.5 ID EAC+AA C1","Giesecke &#38; Devrient GmbH","DE","EAL4+,ALC_DVS.2,AVA_VAN.5","MRTD-PP_V1.10","07/05/2013","","http://www.commoncriteriaportal.org:80/files/epfiles/0760a_pdf.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0760b_pdf.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Virtual Machine of Multos M3G230M mask with AMD 113v4","Multos international / Trusted Labs","FR","EAL7","","07/04/2013","","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-CC_2013-40fr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-CC-cible_2013-40en.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Microcontrôleur SAMSUNG S3FT9PE Revision 0embarquant la bibliothèque RSA/ECC optionnelleTORNADO 2MX2 v2.4","Samsung Electronics Co., Ltd.","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","SECURITY_IC_V1.0","07/02/2013","","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-CC_2013-46fr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-CC-cible_2013-46en.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Plateforme jTOP INFv#46 masquée sur composantsInfineon SLE78CLX1600PM, SLE78CLX800P etSLE78CLX360PM avec fonctionnalités MRTD","Trusted Logic / Infineon","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","ANSSI-CC-PP-2001-03-M01","06/27/2013","","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-CC_2013-42fr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-CC-cible_2013-42en.pdf","04/10/2015","ANSSI-CC-2013/42-M01","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-CC-2013-42_M01.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-CC-2013-42_M01 Cible LITE.pdf"
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Plateforme jTOP INFv#46 masquée sur composantsInfineon SLE78CLX1600PM, SLE78CLX800P etSLE78CLX360PM avec fonctionnalités MRTD","Trusted Logic / Infineon","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","ANSSI-CC-PP-2001-03-M01","06/27/2013","","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-CC_2013-42fr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-CC-cible_2013-42en.pdf","07/28/2015","Correctif du rapport de certification ANSSI-CC-213/42","http://www.commoncriteriaportal.org:80/files/epfiles/Correctif du Rapport ANSSI-CC-2013_42.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/Cible ANSSI-CC-2013_42-Correctif.pdf"
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Plateforme jTOP INFv#46 masquée sur composantsInfineon SLE78CLX1600PM, SLE78CLX800P etSLE78CLX360PM avec fonctionnalités MRTD","Trusted Logic / Infineon","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","ANSSI-CC-PP-2001-03-M01","06/27/2013","","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-CC_2013-42fr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-CC-cible_2013-42en.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","NXP Smart Card Controller P60D080PVC and its major configurations P60D052PVC, P60D040PVC, P60C080PVC, P60C052PVC and P60C040PVC","NXP Semiconductors Germany GmbH Business Line Identification","DE","EAL6+,ALC_FLR.1","SECURITY_IC_V1.0","06/24/2013","","http://www.commoncriteriaportal.org:80/files/epfiles/0837a_pdf.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0837b_pdf.pdf","02/04/2014","NXP Smart Card Controller P60D080/052/040PVC(y) and P60C080/052/040PVC(y) with IC dedicated Software","http://www.commoncriteriaportal.org:80/files/epfiles/0837ma1a_pdf.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0837ma1b_pdf.pdf"
"ICs, Smart Cards and Smart Card-Related Devices and Systems","NXP Smart Card Controller P60D080PVC and its major configurations P60D052PVC, P60D040PVC, P60C080PVC, P60C052PVC and P60C040PVC","NXP Semiconductors Germany GmbH Business Line Identification","DE","EAL6+,ALC_FLR.1","SECURITY_IC_V1.0","06/24/2013","","http://www.commoncriteriaportal.org:80/files/epfiles/0837a_pdf.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0837b_pdf.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Microcontrôleurs sécurisésST33F1M/1M0/896/768/640/512, SC33F1M0/896/768/640/512/384,SM33F1M/1M0/896/768/640/512, SE33F1M/1M0/896/768/640/512,SL33F1M/1M0/896/768/640/512, SP33F1M,incluant le logiciel dédié révision D ou E etoptionnellement la bibliothèque cryptographiqueNesLib v3.0 ou v3.2","STMicroelectronics","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","SECURITY_IC_V1.0","06/17/2013","","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-CC_2013-44fr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-CC-cible_2013-44en.pdf","08/19/2014","Rapport de maintenance
ANSSI-CC-2013/44-M01","http://www.commoncriteriaportal.org:80/files/epfiles/Rapport de maintenance 2013-44-M01.pdf",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Microcontrôleurs sécurisésST33F1M/1M0/896/768/640/512, SC33F1M0/896/768/640/512/384,SM33F1M/1M0/896/768/640/512, SE33F1M/1M0/896/768/640/512,SL33F1M/1M0/896/768/640/512, SP33F1M,incluant le logiciel dédié révision D ou E etoptionnellement la bibliothèque cryptographiqueNesLib v3.0 ou v3.2","STMicroelectronics","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","SECURITY_IC_V1.0","06/17/2013","","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-CC_2013-44fr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-CC-cible_2013-44en.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Microcontrôleurs sécurisés ST33F1M, ST33F1M0, SC33F1M0,ST33F896, SC33F896, ST33F768, SC33F768, ST33F640,SC33F640, ST33F512, SC33F512 et SC33F384 incluant le logicieldédié révision B ou C et optionnellement la bibliothèquecryptographique NesLib v3.0","STMicroelectronics","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","SECURITY_IC_V1.0","06/14/2013","","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-CC_2013-43fr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-CC-cible_2013-43en.pdf","08/19/2014","Rapport de maintenance
ANSSI-CC-2011/07-M03","http://www.commoncriteriaportal.org:80/files/epfiles/Rapport de maintenance 2011-07-M03.pdf",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Microcontrôleurs sécurisés ST33F1M, ST33F1M0, SC33F1M0,ST33F896, SC33F896, ST33F768, SC33F768, ST33F640,SC33F640, ST33F512, SC33F512 et SC33F384 incluant le logicieldédié révision B ou C et optionnellement la bibliothèquecryptographique NesLib v3.0","STMicroelectronics","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","SECURITY_IC_V1.0","06/14/2013","","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-CC_2013-43fr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-CC-cible_2013-43en.pdf","08/19/2014","Rapport de maintenance
ANSSI-CC-2013/43-M01","http://www.commoncriteriaportal.org:80/files/epfiles/Rapport de maintenance 2013-43-M01.pdf",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Microcontrôleurs sécurisés ST33F1M, ST33F1M0, SC33F1M0,ST33F896, SC33F896, ST33F768, SC33F768, ST33F640,SC33F640, ST33F512, SC33F512 et SC33F384 incluant le logicieldédié révision B ou C et optionnellement la bibliothèquecryptographique NesLib v3.0","STMicroelectronics","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","SECURITY_IC_V1.0","06/14/2013","","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-CC_2013-43fr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-CC-cible_2013-43en.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Microcontrôleurs sécurisés ST33F1M/1M0/896/768/640/512,SC33F1M0/896/768/640/512/384,SM33F1M/1M0/896/768/640/512,SE33F1M/1M0/896/768/640/512, SL33F1M/1M0/896/768/640/512,SP33F1M incluant le logiciel dédié révision D ou E,optionnellement la bibliothèque cryptographique NesLib v3.0 ou v3.2,la librairie MIFARE DESFireTM EV1 v1.1","STMicroelectronics","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","SECURITY_IC_V1.0","06/14/2013","","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-CC_2013-45fr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-CC-cible_2013-45en.pdf","04/08/2013","Rapport de maintenance
ANSSI-CC-2013/13-M01","http://www.commoncriteriaportal.org:80/files/epfiles/Rapport de maintenance 2013-13-M01.pdf",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Microcontrôleurs sécurisés ST33F1M/1M0/896/768/640/512,SC33F1M0/896/768/640/512/384,SM33F1M/1M0/896/768/640/512,SE33F1M/1M0/896/768/640/512, SL33F1M/1M0/896/768/640/512,SP33F1M incluant le logiciel dédié révision D ou E,optionnellement la bibliothèque cryptographique NesLib v3.0 ou v3.2,la librairie MIFARE DESFireTM EV1 v1.1","STMicroelectronics","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","SECURITY_IC_V1.0","06/14/2013","","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-CC_2013-45fr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-CC-cible_2013-45en.pdf","08/19/2014","Rapport de maintenance
ANSSI-CC-2012/79-M02","http://www.commoncriteriaportal.org:80/files/epfiles/Rapport de maintenance 2012-79-M02.pdf",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Microcontrôleurs sécurisés ST33F1M/1M0/896/768/640/512,SC33F1M0/896/768/640/512/384,SM33F1M/1M0/896/768/640/512,SE33F1M/1M0/896/768/640/512, SL33F1M/1M0/896/768/640/512,SP33F1M incluant le logiciel dédié révision D ou E,optionnellement la bibliothèque cryptographique NesLib v3.0 ou v3.2,la librairie MIFARE DESFireTM EV1 v1.1","STMicroelectronics","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","SECURITY_IC_V1.0","06/14/2013","","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-CC_2013-45fr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-CC-cible_2013-45en.pdf","08/19/2014","Rapport de maintenance
ANSSI-CC-2013/13-M02","http://www.commoncriteriaportal.org:80/files/epfiles/Rapport de maintenance 2013-13-M02.pdf",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Microcontrôleurs sécurisés ST33F1M/1M0/896/768/640/512,SC33F1M0/896/768/640/512/384,SM33F1M/1M0/896/768/640/512,SE33F1M/1M0/896/768/640/512, SL33F1M/1M0/896/768/640/512,SP33F1M incluant le logiciel dédié révision D ou E,optionnellement la bibliothèque cryptographique NesLib v3.0 ou v3.2,la librairie MIFARE DESFireTM EV1 v1.1","STMicroelectronics","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","SECURITY_IC_V1.0","06/14/2013","","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-CC_2013-45fr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-CC-cible_2013-45en.pdf","08/19/2014","Rapport de maintenance
ANSSI-CC-2013/45-M01","http://www.commoncriteriaportal.org:80/files/epfiles/Rapport de maintenance 2013-45-M01.pdf",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Microcontrôleurs sécurisés ST33F1M/1M0/896/768/640/512,SC33F1M0/896/768/640/512/384,SM33F1M/1M0/896/768/640/512,SE33F1M/1M0/896/768/640/512, SL33F1M/1M0/896/768/640/512,SP33F1M incluant le logiciel dédié révision D ou E,optionnellement la bibliothèque cryptographique NesLib v3.0 ou v3.2,la librairie MIFARE DESFireTM EV1 v1.1","STMicroelectronics","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","SECURITY_IC_V1.0","06/14/2013","","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-CC_2013-45fr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-CC-cible_2013-45en.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","NXP Secure PKI Smart Card Controllers P5CD128V0v/ V0B(s), P5CC128V0v/ V0B(s), P5CD145V0v/ V0B(s), P5CC145V0v/ V0B(s), P5CN145V0v/V0B(s), each including IC Dedicated Software","NXP Semiconductors Germany GmbH Business Line Identification","DE","EAL5+,ALC_DVS.2,ASE_TSS.2,AVA_VAN.5","SECURITY_IC_V1.0","06/12/2013","","http://www.commoncriteriaportal.org:80/files/epfiles/0858a_pdf.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0858b_pdf.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","NXP Secure Smart Card Controllers P5CD016/021/041/051 and P5Cx081 V1A/ V1A(s)","NXP Semiconductors Germany GmbH Business Line Identification","DE","EAL5+,ALC_DVS.2,ASE_TSS.2,AVA_VAN.5","SECURITY_IC_V1.0","06/12/2013","","http://www.commoncriteriaportal.org:80/files/epfiles/0857a_pdf.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0857b_pdf.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Plateforme Multos M3 avec AMD 113v4 masquée surcomposant SLE78CLX1600PM","MULTOS International / Infineon Technology AG","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","","06/12/2013","","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-CC_2013-39fr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-CC-cible_2013-39en.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Athena IDProtect Duo v5 avec application IASECC en configuration ICAO BAC sur composantAT90SC28880RCFV","Athena Smartcard Solutions Inc. / Inside Secure S.A.","FR","EAL4+,ADV_FSP.5,ADV_INT.2,ADV_TDS.4,ALC_CMS.5,ALC_DVS.2,ALC_TAT.2,ATE_DPT.3","MRTD_ICAO_BA_V1.10","06/11/2013","","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-CC_2013-36fr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/ANSSI-CC-cible_2013-36en.pdf","","","",""
